	userid	text	dt	answer
0	639414	POT BROWNIES	2017-08-15T21:41:10.0000000	loved
1	639414	BAD WIFI	2017-08-15T21:41:10.0000000	hated
2	639414	MONOPOLY	2017-08-15T21:41:10.0000000	liked
3	633222	being passionate about one thing	2017-08-15T21:40:56.0000000	liked
4	633222	greek mythology	2017-08-15T21:40:56.0000000	liked
5	633222	parallel parking	2017-08-15T21:40:56.0000000	liked
6	633222	when people quote movies	2017-08-15T21:40:56.0000000	loved
7	633222	Arnold Schwarzenegger	2017-08-15T21:40:56.0000000	liked
8	633222	APPLE AIRPODS	2017-08-15T21:40:56.0000000	liked
9	633222	traffic	2017-08-15T21:40:56.0000000	hated
10	633222	birth control pills	2017-08-15T21:40:56.0000000	liked
11	633222	THE STANKY LEG	2017-08-15T21:40:56.0000000	skipped
12	633222	webMD	2017-08-15T21:40:56.0000000	liked
13	633222	daylight saving time	2017-08-15T21:40:56.0000000	skipped
14	633222	TOURISTY THINGS	2017-08-15T21:40:56.0000000	disliked
15	633222	LONG HAIR ON GUYS	2017-08-15T21:40:56.0000000	liked
16	633222	riding bikes	2017-08-15T21:40:56.0000000	liked
17	633222	the real world	2017-08-15T21:40:56.0000000	skipped
18	633222	self-help books	2017-08-15T21:40:56.0000000	disliked
19	633222	macs	2017-08-15T21:40:56.0000000	liked
20	633222	playing h.o.r.s.e.	2017-08-15T21:40:56.0000000	disliked
21	633222	CATS	2017-08-15T21:40:56.0000000	hated
22	640892	armpit hair	2017-08-15T21:40:48.0000000	hated
23	640892	OVER-THE-TOP MARRIAGE PROPOSALS	2017-08-15T21:40:48.0000000	liked
24	640892	SECRET HANDSHAKES	2017-08-15T21:40:48.0000000	loved
25	640892	football	2017-08-15T21:40:48.0000000	liked
26	640892	GETTING A FOOT CRAMP	2017-08-15T21:40:48.0000000	hated
27	640892	scuba diving	2017-08-15T21:40:48.0000000	liked
28	640892	capris	2017-08-15T21:40:48.0000000	liked
29	640892	EMMA STONE	2017-08-15T21:40:48.0000000	liked
30	640892	GOING TO THE GYM	2017-08-15T21:40:48.0000000	liked
31	640892	SEAN SPICER	2017-08-15T21:40:48.0000000	disliked
32	640892	drum circles	2017-08-15T21:40:48.0000000	disliked
33	640892	investment bankers	2017-08-15T21:40:48.0000000	disliked
34	640892	wet dreams	2017-08-15T21:40:48.0000000	disliked
35	640892	using webmd to figure out what's wrong with me	2017-08-15T21:40:48.0000000	hated
36	640892	listerine	2017-08-15T21:40:48.0000000	liked
37	640892	THE ENDING OF LOST	2017-08-15T21:40:48.0000000	disliked
38	640892	PEOPLE WITH NO SHAME	2017-08-15T21:40:48.0000000	liked
39	640892	the idea of self-driving cars	2017-08-15T21:40:48.0000000	liked
40	640892	#nofilter	2017-08-15T21:40:48.0000000	hated
41	640892	rosie o'donnell	2017-08-15T21:40:48.0000000	disliked
42	640892	"""how was your day?"""	2017-08-15T21:40:48.0000000	liked
43	640892	street preachers	2017-08-15T21:40:48.0000000	disliked
44	640892	anti-vaxxers	2017-08-15T21:40:48.0000000	disliked
45	640892	sunbathing	2017-08-15T21:40:48.0000000	disliked
46	640892	PUBLIC SPEAKING	2017-08-15T21:40:48.0000000	disliked
47	640892	BARBECUING	2017-08-15T21:40:48.0000000	loved
48	640892	full sleeve tattoos	2017-08-15T21:40:48.0000000	liked
49	640892	boneless wings	2017-08-15T21:40:48.0000000	loved
50	640892	"""boys night"""	2017-08-15T21:40:48.0000000	liked
51	640892	JUMPING ROPE	2017-08-15T21:40:48.0000000	liked
52	640892	steve harvey	2017-08-15T21:40:48.0000000	liked
53	640892	winking	2017-08-15T21:40:48.0000000	liked
54	640892	WEIRD HAIRCUTS	2017-08-15T21:40:48.0000000	disliked
55	640892	jokes	2017-08-15T21:40:48.0000000	loved
56	640892	watery salsa	2017-08-15T21:40:48.0000000	disliked
57	640892	DRINKING WATER	2017-08-15T21:40:48.0000000	loved
58	640892	san francisco	2017-08-15T21:40:48.0000000	liked
59	640892	MISPLACING MY KEYS	2017-08-15T21:40:48.0000000	hated
60	640892	piercings	2017-08-15T21:40:48.0000000	disliked
61	640892	TODAY	2017-08-15T21:40:48.0000000	loved
62	640876	TITTY TWISTERS	2017-08-15T21:40:42.0000000	skipped
63	640876	BOXING	2017-08-15T21:40:42.0000000	skipped
64	640876	mimes	2017-08-15T21:40:42.0000000	skipped
65	640876	oatmeal	2017-08-15T21:40:42.0000000	skipped
66	640876	being scared	2017-08-15T21:40:42.0000000	skipped
67	640876	going to classes	2017-08-15T21:40:42.0000000	skipped
68	640876	the undercut haircut	2017-08-15T21:40:42.0000000	skipped
69	640876	USING ALL YOUR MONEY ON FOOD	2017-08-15T21:40:42.0000000	skipped
70	640876	CHIA SEEDS	2017-08-15T21:40:42.0000000	skipped
71	640876	SYLLABUS WEEK	2017-08-15T21:40:42.0000000	skipped
72	640876	bassnectar	2017-08-15T21:40:42.0000000	skipped
73	640876	morning workouts	2017-08-15T21:40:42.0000000	skipped
74	640876	unlimited chips and salsa	2017-08-15T21:40:42.0000000	skipped
75	640876	hand sanitizer	2017-08-15T21:40:42.0000000	skipped
76	640876	shopping on ebay	2017-08-15T21:40:42.0000000	skipped
77	640876	BURNING MAN	2017-08-15T21:40:42.0000000	skipped
78	640876	picking scabs	2017-08-15T21:40:42.0000000	skipped
79	640876	anyone but obama as president	2017-08-15T21:40:42.0000000	skipped
80	640876	clap on clap off lights	2017-08-15T21:40:42.0000000	skipped
81	640876	PDA	2017-08-15T21:40:42.0000000	skipped
82	640876	ANCHOVY PIZZA	2017-08-15T21:40:42.0000000	skipped
83	640876	bingo	2017-08-15T21:40:42.0000000	skipped
84	640876	stella artois	2017-08-15T21:40:42.0000000	skipped
85	640876	two girls one cup	2017-08-15T21:40:42.0000000	skipped
86	640876	staying out late at bars	2017-08-15T21:40:42.0000000	skipped
87	640876	wearing my heart on my sleeve	2017-08-15T21:40:42.0000000	skipped
88	640876	THEMED PARTIES	2017-08-15T21:40:42.0000000	skipped
89	640876	sleep masks	2017-08-15T21:40:42.0000000	skipped
90	640876	glasses	2017-08-15T21:40:42.0000000	skipped
91	640876	PLAYFUL ASS SLAPPING	2017-08-15T21:40:42.0000000	skipped
92	640876	MULLETS	2017-08-15T21:40:42.0000000	skipped
93	640876	swearing	2017-08-15T21:40:42.0000000	skipped
